Taxa,/N/dc2/scratch/hleffler/kraken_report/SRR9649760_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649757_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649758_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649759_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649755_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649754_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649756_kraken_report
Gemmobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Yoonia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Marivivens,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Halocynthiibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thalassococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Antarctobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Tateyamaria,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Litoreibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Jannaschia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudorhodobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rhodobaca,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Hyphomonas,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Maricaulis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Glycocaulis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Hirschia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingomonas,  0.03,   0.09,   0.03,   0.03,   0.05,   0.12,   0.04
Sphingobium,  0.02,   0.05,   0.02,   0.02,   0.03,   0.06,   0.02
Sphingopyxis,  0.01,   0.04,   0.01,   0.01,   0.02,   0.05,   0.02
Novosphingobium,  0.01,   0.03,   0.01,   0.01,   0.02,   0.04,   0.01
Sphingosinicella,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Sphingorhabdus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Rhizorhabdus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Blastomonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Citromicrobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Zymomonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Altererythrobacter,  0.01,   0.02,   0.01,   0.01,   0.01,   0.03,   0.01
Erythrobacter,  0.01,   0.03,   0.01,   0.01,   0.01,   0.03,   0.01
Porphyrobacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.01
Croceicoccus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Qipengyuania,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Azospirillum,  0.03,   0.12,   0.03,   0.03,   0.05,   0.16,   0.04
Magnetospirillum,  0.01,   0.04,   0.01,   0.01,   0.02,   0.06,   0.01
Thalassospira,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Rhodospirillum,  0.00,   0.02,   0.00,   0.00,   0.01,   0.03,   0.00
Tistrella,  0.00,   0.01,   0.00,   0.00,   0.00,   0.02,   0.00
Nitrospirillum,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.00
Indioceanicola,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Magnetospira,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Pararhodospirillum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Niveispirillum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Ferrovibrio,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Haematospirillum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Endolissoclinum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Stella,  0.01,   0.06,   0.01,   0.01,   0.02,   0.08,   0.01
Komagataeibacter,  0.01,   0.01,   0.01,   0.01,   0.01,   0.02,   0.01
Acetobacter,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Roseomonas,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.00
Gluconobacter,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Acidiphilium,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Acidibrevibacterium,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Neokomagataea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Granulibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Gluconacetobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Kozakia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Neoasaia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Swingsia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Parasaccharibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Asaia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Commensalibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Brevundimonas,  0.01,   0.04,   0.01,   0.01,   0.02,   0.05,   0.02
Caulobacter,  0.01,   0.04,   0.01,   0.01,   0.02,   0.05,   0.02
Phenylobacterium,  0.01,   0.01,   0.00,   0.00,   0.01,   0.02,   0.01
Asticcacaulis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia,  0.01,   0.00,   0.01,   0.01,   0.01,   0.00,   0.01
Orientia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Sneabacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Phycorickettsia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ehrlichia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Neorickettsia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Anaplasma,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Midichloria,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Fokinia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Deianiraea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Phreatobacter,  0.01,   0.02,   0.01,   0.01,   0.01,   0.03,   0.01
Polymorphum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Micavibrio,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Puniceispirillum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Pelagibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Fonsibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Emcibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Candidatus Cytomitobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Nesciobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Nucleicultrix,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Paracaedibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Magnetococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Parvularcula,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Desulfococcus,  0.04,   0.04,   0.04,   0.03,   0.04,   0.03,   0.03
Desulfobacter,  0.03,   0.02,   0.03,   0.03,   0.02,   0.01,   0.02
Desulfobacula,  0.02,   0.01,   0.03,   0.02,   0.02,   0.01,   0.02
Desulfobacterium,  0.02,   0.01,   0.02,   0.02,   0.01,   0.01,   0.02
Desulfatibacillum,  0.02,   0.02,   0.02,   0.01,   0.02,   0.01,   0.01
Desulfurivibrio,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Desulfocapsa,  0.01,   0.01,   0.01,   0.01,   0.01,   0.00,   0.01
Desulfobulbus,  0.00,   0.01,   0.00,   0.01,   0.00,   0.00,   0.00
Desulfotalea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Myxococcus,  0.02,   0.06,   0.02,   0.02,   0.04,   0.07,   0.03
Corallococcus,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Archangium,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Cystobacter,  0.01,   0.01,   0.00,   0.00,   0.01,   0.02,   0.01
Stigmatella,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Melittangium,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Anaeromyxobacter,  0.02,   0.05,   0.02,   0.01,   0.03,   0.06,   0.02
Vulgatibacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Sorangium,  0.03,   0.09,   0.03,   0.03,   0.05,   0.11,   0.04
Chondromyces,  0.01,   0.02,   0.00,   0.00,   0.01,   0.02,   0.01
Pajaroellobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Minicystis,  0.01,   0.02,   0.01,   0.01,   0.01,   0.03,   0.01
Sandaracinus,  0.01,   0.02,   0.01,   0.01,   0.01,   0.03,   0.01
Labilithrix,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.01
Haliangium,  0.01,   0.03,   0.01,   0.01,   0.01,   0.03,   0.01
Geobacter,  0.07,   0.10,   0.06,   0.07,   0.08,   0.11,   0.07
Geoalkalibacter,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Pelobacter,  0.02,   0.02,   0.02,   0.02,   0.02,   0.02,   0.02
Desulfuromonas,  0.01,   0.02,   0.01,   0.01,   0.02,   0.03,   0.01
Desulfovibrio,  0.06,   0.09,   0.06,   0.06,   0.08,   0.08,   0.06
Pseudodesulfovibrio,  0.01,   0.02,   0.01,   0.01,   0.02,   0.02,   0.01
Desulfocurvibacter,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Lawsonia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Desulfomicrobium,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Desulfohalobium,  0.01,   0.01,   0.01,   0.01,   0.01,   0.00,   0.00
Desulfoglaeba,  0.04,   0.02,   0.04,   0.04,   0.02,   0.01,   0.03
Syntrophobacter,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Desulfomonile,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Desulfobacca,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Syntrophus,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Candidatus Desulfofervidus,  0.01,   0.00,   0.01,   0.02,   0.00,   0.00,   0.01
Bradymonas,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Desulfarculus,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Hippea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Desulfurella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Arcobacter,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Aliiarcobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Campylobacter,  0.01,   0.01,   0.02,   0.01,   0.02,   0.01,   0.01
Sulfurospirillum,  0.00,   0.00,   0.01,   0.00,   0.01,   0.00,   0.00
Helicobacter,  0.01,   0.01,   0.01,   0.02,   0.01,   0.01,   0.01
Sulfurimonas,  0.01,   0.00,   0.01,   0.01,   0.01,   0.00,   0.01
Sulfuricurvum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolinella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Nitratifractor,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sulfurovum,  0.00,   0.00,   0.00,   0.01,   0.01,   0.00,   0.01
Nitratiruptor,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Nautilia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Caminibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Cetia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Burkholderia,  0.08,   0.20,   0.07,   0.07,   0.12,   0.25,   0.09
Cupriavidus,  0.04,   0.09,   0.03,   0.03,   0.06,   0.11,   0.04
Paraburkholderia,  0.02,   0.07,   0.02,   0.02,   0.04,   0.08,   0.03
Ralstonia,  0.01,   0.03,   0.01,   0.01,   0.02,   0.04,   0.01
Pandoraea,  0.01,   0.03,   0.01,   0.01,   0.02,   0.04,   0.01
Polynucleobacter,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Lautropia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Mycetohabitans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Hydromonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Mycoavidus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acidovorax,  0.02,   0.03,   0.02,   0.02,   0.02,   0.03,   0.02
Variovorax,  0.01,   0.04,   0.01,   0.01,   0.02,   0.05,   0.02
Rhodoferax,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Hydrogenophaga,  0.01,   0.02,   0.01,   0.01,   0.01,   0.03,   0.01
Comamonas,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Polaromonas,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Delftia,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Ramlibacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Melaminivora,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Alicycliphilus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Ottowia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Candidatus Symbiobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Serpentinomonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Verminephrobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Limnohabitans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Hylemonella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Simplicispira,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Curvibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Diaphorobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Bordetella,  0.03,   0.07,   0.03,   0.02,   0.04,   0.08,   0.03
Achromobacter,  0.02,   0.06,   0.02,   0.02,   0.04,   0.07,   0.03
Pigmentiphaga,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Alcaligenes,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Pusillimonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Advenella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Castellaniella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Orrella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Taylorella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Oligella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Basilea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Paenalcaligenes,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Kerstersia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Massilia,  0.02,   0.06,   0.02,   0.02,   0.04,   0.07,   0.03
Herbaspirillum,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Janthinobacterium,  0.01,   0.02,   0.01,   0.01,   0.01,   0.03,   0.01
Collimonas,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Herminiimonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Noviherbaspirillum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Undibacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Oxalobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thiomonas,  0.01,   0.01,   0.00,   0.01,   0.01,   0.01,   0.01
Methylibium,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Rubrivivax,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Rhizobacter,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Leptothrix,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Sphaerotilus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Mitsuaria,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Roseateles,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Inhella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Aquabacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Paucibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sutterella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Chromobacterium,  0.01,   0.02,   0.01,   0.01,   0.02,   0.03,   0.01
Iodobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Aquitalea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Laribacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Aquaspirillum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudogulbenkiania,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Jeongeupia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Vogesella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Microvirgula,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Neisseria,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Vitreoscilla,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Chitinolyticbacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Crenobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Eikenella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Snodgrassella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Simonsiella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Kingella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Nitrosomonas,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Nitrosospira,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Sulfuritalea,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Denitratisoma,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Methyloversatilis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Methylopumilus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Methylovorus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Methylobacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Methylotenera,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Methylophilus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sideroxydans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sulfuricella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ferriphaselus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sulfuriferula,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Gallionella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sulfuritortus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Thiobacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Azoarcus,  0.01,   0.04,   0.01,   0.01,   0.02,   0.05,   0.02
Thauera,  0.01,   0.03,   0.01,   0.01,   0.02,   0.03,   0.01
Aromatoleum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Oryzomicrobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Azospira,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Dechloromonas,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Candidatus Accumulibacter,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Candidatus Kinetoplastibacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Profftella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Tremblaya,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Nasuia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Bdellovibrio,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Halobacteriovorax,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Bacteriovorax,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Silvanigrella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acidithiobacillus,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Mariprofundus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Hydrogenophilus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Streptomyces,  0.32,   0.79,   0.29,   0.27,   0.54,   0.95,   0.37
Kitasatospora,  0.01,   0.03,   0.01,   0.01,   0.02,   0.03,   0.01
Streptacidiphilus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Microbacterium,  0.03,   0.09,   0.03,   0.03,   0.06,   0.11,   0.04
Agromyces,  0.01,   0.03,   0.01,   0.01,   0.02,   0.03,   0.01
Leifsonia,  0.01,   0.01,   0.01,   0.00,   0.01,   0.02,   0.01
Clavibacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Rathayibacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.00
Curtobacterium,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.00
Agrococcus,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.00
Cryobacterium,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Frondihabitans,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Microterricola,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Plantibacter,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Leucobacter,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Lysinimonas,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Salinibacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Rhodoluna,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Aquiluna,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Humibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Gryllotalpicola,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Cnuibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Aurantimicrobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Microcella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Mycetocola,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pontimonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Arthrobacter,  0.02,   0.04,   0.02,   0.02,   0.03,   0.05,   0.03
Kocuria,  0.01,   0.02,   0.01,   0.01,   0.02,   0.03,   0.01
Pseudarthrobacter,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Glutamicibacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Micrococcus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Sinomonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Rothia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Citricoccus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Nesterenkonia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Zhihengliuella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Auritidibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Neomicrococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Renibacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychromicrobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Paenarthrobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ornithinimicrobium,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Serinicoccus,  0.01,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Janibacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Intrasporangium,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Arsenicicoccus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Phycicoccus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Cellulomonas,  0.01,   0.03,   0.01,   0.01,   0.02,   0.04,   0.01
Oerskovia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Paraoerskovia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Brachybacterium,  0.01,   0.03,   0.01,   0.01,   0.02,   0.03,   0.01
Dermabacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Devriesea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Cellulosimicrobium,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Isoptericola,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Xylanimicrobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Xylanimonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Xylanibacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Brevibacterium,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
