Taxa,/N/dc2/scratch/hleffler/kraken_report/SRR9649760_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649757_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649758_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649759_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649755_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649754_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649756_kraken_report
Pseudomonas sp. BJP69,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. 7SR1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. LG1D9,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. 02C 26,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. S09G 359,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. LBUM920,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. NIBRBAC000502773,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. R2A2,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. SWI44,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. 31-12,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. URMO17WK12:I11,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. MYb193,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. 11K1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. SXM-1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. RU47,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. phDV1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. XWY-1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. DTU12.3,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. CCOS 191,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. MRSN12121,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. NS1(2017),  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. R5-89-07,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. UW4,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. MT-1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. FDAARGOS_380,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. PONIH3,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. Os17,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. Z003-0.4C(8344-21),  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. FGI182,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. St29,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. DR 5-09,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. LH1G9,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. B10,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. 09C 129,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. R3-18-08,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. S150,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. R4-39-08,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. NC02,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. ATCC 43928,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. QZS01,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. SWI36,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. A214,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. GR 6-02,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. JY-Q,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. SWI7,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. TMW 2.1634,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. R2-7-07,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. TKP,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. R4-34-07,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. s211(2017),  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. R2-37-08W,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. SWI6,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. LTGT-11-2Z,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. R1-43-08,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. bs2935,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. R4-35-07,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. AK6U,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. VLB120,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. R2-60-08W,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. R3-52-08,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. WCS374,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. R11-23-07,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. KBS0707,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. KBS0802,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas fluorescens,  0.01,   0.02,   0.01,   0.01,   0.02,   0.02,   0.01
Pseudomonas tolaasii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas protegens,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Pseudomonas synxantha,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas orientalis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas trivialis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas azotoformans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas veronii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas mandelii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas corrugata,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas rhodesiae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas brenneri,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas poae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas cedrina,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas mucidolens,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas extremorientalis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas mediterranea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas libanensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas aeruginosa,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Pseudomonas mendocina,  0.01,   0.01,   0.00,   0.01,   0.01,   0.01,   0.01
Pseudomonas citronellolis,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Pseudomonas furukawaii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Pseudomonas oleovorans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas resinovorans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Pseudomonas alcaligenes,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas putida,  0.01,   0.03,   0.01,   0.01,   0.02,   0.03,   0.01
Pseudomonas oryzihabitans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas fulva,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas monteilii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas plecoglossicida,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. SGAir0191,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas mosselii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas stutzeri,  0.01,   0.02,   0.01,   0.01,   0.01,   0.03,   0.01
Pseudomonas balearica,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas xanthomarina,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas syringae,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Pseudomonas cichorii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas viridiflava,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas fuscovaginae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sp. Lz4W,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas amygdali,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas savastanoi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas syringae group genomosp. 3,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas avellanae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas chlororaphis,  0.01,   0.01,   0.01,   0.01,   0.01,   0.02,   0.01
Pseudomonas taetrolens,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas fragi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas psychrotolerans,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Pseudomonas entomophila,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Pseudomonas oryzae,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Pseudomonas knackmussii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas pohangensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas alkylphenolica,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sabulinigri,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas versuta,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas salegens,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas koreensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas frederiksbergensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas silesiensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas parafulva,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas saudiphocaensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas xinjiangensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas rhizosphaerae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas cremoricolorata,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas moraviensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas umsongensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas vancouverensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas guangdongensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas litoralis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas lurida,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas brassicacearum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas antarctica,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas extremaustralis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas agarici,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas yamanorum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas palleroniana,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas arsenicoxydans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas lini,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas prosekii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas simiae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas kribbensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas alcaliphila,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas reinekei,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas thivervalensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas psychrophila,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas sihuiensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas asplenii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas granadensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Pseudomonas adelgestsugas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas lactis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas soli,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonas cerasi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Azotobacter chroococcum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Azotobacter vinelandii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Oblitimonas alkaliphila,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudomonadaceae bacterium SI-3,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter baumannii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter lactucae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter pittii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter nosocomialis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter calcoaceticus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. WCHAc010034,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. SWBY1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. ACNIH2,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. ACNIH1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. NCu2D-2,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. TTH0-4,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. LoGeW2-3,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. TGL-Y2,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. WCHAc010052,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. WCHA55,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. WCHA45,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. WCHAc010005,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. DUT-2,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. FDAARGOS_493,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. FDAARGOS_494,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter sp. FDAARGOS_560,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter junii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter baylyi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter lwoffii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter johnsonii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter wuhouensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter haemolyticus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter bereziniae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter radioresistens,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter larvae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter cumulans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter soli,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter equi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter schindleri,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter indicus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter defluvii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter venetianus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter guillouiae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter tandoii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter ursingii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acinetobacter oleivorans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychrobacter sp. P11F6,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychrobacter sp. AntiMn-1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychrobacter sp. P11G5,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychrobacter sp. DAB_AL43B,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychrobacter sp. P11G3,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychrobacter sp. YP14,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychrobacter sp. G,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychrobacter sp. PRwf-1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychrobacter sp. P2G3,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychrobacter sp. PAMC27889,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychrobacter urativorans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychrobacter cryohalolentis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychrobacter arcticus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychrobacter alimentarius,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Moraxella osloensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Moraxella catarrhalis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Moraxella ovis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Moraxella cuniculi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Moraxella bovoculi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Moraxella bovis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Moraxellaceae bacterium HYN0046,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter cloacae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter hormaechei,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter cancerogenus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter ludwigii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter asburiae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter cloacae complex sp.,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter kobei,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter roggenkampii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter chengduensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter cloacae complex sp. FDA-CDC-AR_0164,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter cloacae complex sp. ECNIH7,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter cloacae complex sp. FDA-CDC-AR_0132,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter sp. SA187,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter sp. FY-07,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter sp. R4-368,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter sp. 638,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter sp. HK169,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter sp. 18A13,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter sp. N18-03635,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter sp. E20,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter sp. ODB01,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter sp. LU1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter sp. Crenshaw,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter sp. CRENT-193,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter sp. DKU_NT_01,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter soli,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterobacter bugandensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Klebsiella pneumoniae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Klebsiella michiganensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Klebsiella oxytoca,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Klebsiella aerogenes,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
